Código,Posto,Mês/Ano,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Acumulado
524,Itamaracá,jul./2024,0,"0,8","3,2","3,5","1,5",20,26,"3,5","5,5","9,8",0,38,20,"1,8",0,0,0,"1,5",2,0,6,"2,5",0,"3,4","1,5",0,0,"3,5",0,"1,5",0,"1558,8"
520,Itapissuma,jul./2024,0,"0,5","2,5","4,1","1,2",17,25,2,"4,8","6,8",0,37,"17,5","1,5",0,0,0,"1,3","1,5",0,"5,4","1,8",0,"3,2","1,4",0,0,"3,2",0,"1,2",0,"1723,9"
604,Jaboatão (Cidade da Copa) - PCD,jul./2024,0,2,9,"1,6",1,"17,8",38,"0,6",4,3,6,"19,6","5,2","1,6","0,8","1,2","4,2",1,3,"1,4",16,"1,8","0,8","1,2","0,8","1,8","0,6","3,4","1,8","0,8","0,2","2019,2"
202,Jaboatão dos Guararapes,jul./2024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
268,Jaboatão dos Guararapes (Bar.Duas Unas),jul./2024,0,0,"7,5","2,2","2,3","13,2","35,5","5,4","1,3",20,"2,1","18,6","3,6","1,4","0,7",0,"4,4","1,5","3,1","2,3","15,3","1,2","0,2","1,5","1,8",3,0,"3,1","0,6","0,7",0,"1761,8"
205,Moreno,jul./2024,0,0,"6,9","2,1","3,9","12,9","35,1","12,9","1,1","20,1","1,9","18,3","4,1","1,5","0,9",0,0,"1,4","3,3","2,7","15,1","1,9","1,9","2,1","0,7","3,2",0,"3,7","0,8",0,0,"1432,4"
199,Olinda,jul./2024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
551,Olinda (Academia Santa Gertrudes),jul./2024,0,2,"0,7","0,3",1,12,9,3,7,"21,8","0,4",21,0,0,0,"1,6","2,7","0,2",0,0,"6,5",1,0,1,"1,4","0,5",0,3,"0,7",0,0,"1456,7"
209,Olinda (Alto da Bondade),jul./2024,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
451,Paulista,jul./2024,0,1,"4,4","0,8","1,4","18,1","16,2","2,2","16,4","14,8",3,25,2,"0,4",0,"0,6",0,0,"0,2","0,4","6,3","4,3",0,"3,7","1,8","0,4",0,1,0,"1,8",0,"1747,4"
265,Recife (Alto da Brasileira),jul./2024,0,0,"5,6","5,4","1,4","19,8","16,2","10,2","0,5","13,7",1,"24,1","12,7","1,5",0,"1,7","0,3","4,3","0,8",0,"5,8","2,9",0,"1,3","2,3","0,6",0,"6,3",0,"2,1",0,"1819,1"
196,Recife (Codecipe / Santo Amaro),jul./2024,0,"0,8","7,8","0,5","2,2",22,"8,6",0,"4,2","7,4","2,2","16,5","2,2",1,0,"1,2",0,"4,8",0,"1,4","9,1",0,"0,6","1,1","2,2",0,"1,6","0,4",0,"0,1",0,"1511,9"
30,Recife (Várzea),jul./2024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
267,São Lourenço da Mata (Tapacurá),jul./2024,0,0,"0,9","1,2","1,3","18,9","34,8","4,7",0,"4,2","1,4","17,3","6,8","1,1",0,0,"1,5","1,9","0,8",0,"14,4","0,7",0,"4,1",0,"2,3",0,"0,7",0,0,0,"1214,2"
198,Abreu e Lima,ago./2024,0,"1,3",5,"2,5","8,9","1,1",0,0,"1,9",0,0,0,0,0,"1,1",1,"1,6",2,"2,1",12,"0,8",0,0,0,0,0,0,"2,5","2,5","0,1","0,2","1873,8"
309,Araçoiaba (Granja Cristo Redentor),ago./2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,2","2,3","1,2",0,0,0,"1208,9"
301,Cabo,ago./2024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
